Date,Open,High,Low,Close,Adj Close,Volume
2009-05-29,35.761653900146484,35.761653900146484,35.761653900146484,35.761653900146484,35.104854583740234,806137
2009-06-01,37.323768615722656,37.54973602294922,35.565162658691406,37.54973602294922,36.86009216308594,1017850
2009-06-02,39.3476448059082,39.43115234375,38.31605911254883,39.43115234375,38.70695877075195,76338
2009-06-03,41.40590286254883,41.40590286254883,41.40590286254883,41.40590286254883,40.64543151855469,18321
2009-06-04,43.47890090942383,43.47890090942383,39.33781814575195,40.39396667480469,39.65208435058594,2502435
2009-06-05,40.870460510253906,41.754676818847656,38.91044616699219,39.323081970214844,38.60087585449219,510848
2009-06-08,40.280982971191406,40.47747802734375,37.358154296875,38.07044219970703,37.371238708496094,415242
2009-06-09,36.86201477050781,39.691505432128906,36.86201477050781,39.278873443603516,38.55746841430664,604093
2009-06-10,38.90553665161133,40.3841438293457,37.947635650634766,39.10694122314453,38.388694763183594,358313
2009-06-11,38.81220245361328,39.59326171875,38.81220245361328,39.298519134521484,38.576759338378906,325712
2009-06-12,39.298519134521484,40.280982971191406,38.807289123535156,39.269046783447266,38.547828674316406,470938
2009-06-15,39.102027893066406,39.78975296020508,38.807289123535156,39.32799530029297,38.60569381713867,203773
2009-06-16,38.31605911254883,40.47747802734375,38.31605911254883,40.27116012573242,39.53153610229492,99851
2009-06-17,40.772216796875,41.45994186401367,39.83887481689453,40.27607345581055,39.53636169433594,183976
2009-06-18,39.298519134521484,40.280982971191406,38.262020111083984,39.156063079833984,38.436912536621094,146122
2009-06-19,38.807289123535156,40.0795783996582,37.544822692871094,38.718868255615234,38.00775909423828,112116
2009-06-22,38.856414794921875,39.102027893066406,38.46342849731445,38.77781677246094,38.065616607666016,300754
2009-06-23,38.807289123535156,38.807289123535156,36.84236145019531,36.90622329711914,36.2284049987793,236792
2009-06-24,37.824825286865234,38.01640701293945,36.10551452636719,36.478851318359375,35.808876037597656,221321
2009-06-25,36.84236145019531,37.795352935791016,36.84236145019531,37.67745590209961,36.98546600341797,400493
2009-06-26,38.30131912231445,39.563785552978516,37.72658157348633,39.146240234375,38.427276611328125,157196
2009-06-29,41.06695556640625,41.10625457763672,39.396766662597656,40.92940902709961,40.17768478393555,118050
2009-06-30,40.87537384033203,40.87537384033203,38.885887145996094,38.885887145996094,38.17170333862305,67178
2009-07-01,37.333595275878906,38.31605911254883,36.94552230834961,36.94552230834961,36.26697540283203,157766
2009-07-02,35.11322784423828,38.02132034301758,35.005157470703125,36.55744934082031,35.98171615600586,194236
2009-07-03,37.038856506347656,37.64798355102539,36.55744934082031,36.97499465942383,36.39268112182617,163822
2009-07-06,37.333595275878906,38.217811584472656,35.12796401977539,35.17708969116211,34.62309265136719,439395
2009-07-07,34.18971252441406,36.14972686767578,33.993221282958984,34.22901153564453,33.689945220947266,79514
2009-07-08,34.386207580566406,34.7742805480957,33.20724868774414,33.83111572265625,33.298316955566406,89021
2009-07-09,33.50198745727539,33.89497375488281,32.91250991821289,33.69356918334961,33.16293716430664,63106
2009-07-10,33.79672622680664,34.18971252441406,33.02058029174805,33.45286560058594,32.926025390625,59279
2009-07-13,33.89497375488281,33.89497375488281,31.94478416442871,32.14619064331055,31.639925003051758,130366
2009-07-14,32.91250991821289,33.79672622680664,32.32303237915039,33.094268798828125,32.57307815551758,57691
2009-07-15,34.17006301879883,35.65358352661133,33.30549621582031,34.823402404785156,34.27497482299805,312663
2009-07-16,36.34130859375,38.30623245239258,35.96305847167969,36.365867614746094,35.79315185546875,422804
2009-07-17,36.84236145019531,37.235347747802734,35.66340637207031,36.05147933959961,35.483707427978516,439924
2009-07-20,35.859901428222656,36.812889099121094,34.597434997558594,35.59954833984375,35.03889083862305,162041
2009-07-21,35.172176361083984,35.65849685668945,34.69076919555664,35.12305450439453,34.56990432739258,103779
2009-07-22,35.36866760253906,35.565162658691406,34.07181930541992,34.391117095947266,33.84950637817383,285710
